texts,source
"I absolutely love this product, it works great!",shop_a
"Terrible experience, the item broke after one day.",shop_b
"It's okay, nothing special but does the job.",shop_a
"Best purchase I have made all year, highly recommend.",shop_c
"Customer service was rude and unhelpful.",shop_b
"Decent value for the price, would buy again.",shop_a
"Completely useless, a total waste of money.",shop_c
"Fast shipping and the quality exceeded my expectations.",shop_b
"Not as described, quite disappointed with the result.",shop_a
"Five stars, exactly what I needed and on time.",shop_c
